Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ADFA/construction/fromList,0.3012157564765706,0.2714548864389924,0.32937850604936275,3.439323958784213e-2,2.9390964947312297e-2,3.6146098533974824e-2
ADFA/construction/fromAscList,0.20415913326534102,0.2005747635998497,0.21318894881170264,6.9185415142171405e-3,8.926691976440942e-4,9.357700505664267e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ADFA/construction/fromList,0.276853590640482,0.2705667873207546,0.28594143222944696,9.290482764503614e-3,1.2526382167034906e-3,1.2252953241205736e-2
ADFA/construction/fromAscList,0.20032605328357644,0.19603167912278635,0.2071746726361813,7.015750162837334e-3,2.1754841042661887e-3,9.38490032033893e-3
ADFA/query/isEmpty,6.612200921433978e-7,6.358918262879463e-7,6.830022923008225e-7,6.393242290166751e-8,5.17387752779277e-8,8.388154205799747e-8
ADFA/query/stringCount,1.2793743795987968e-2,1.2183624099402391e-2,1.3435458302566693e-2,1.5878052997137723e-3,1.1303397543152187e-3,2.1798414107266563e-3
ADFA/query/enumerate10,3.155588684510097e-6,2.897933646970102e-6,4.119308103956734e-6,1.2810324769299994e-6,2.7119071648674816e-7,2.5853124086868664e-6
ADFA/query/match,1.930050960808683e-4,1.8574053804301703e-4,2.0633748959759325e-4,2.836812307719658e-5,1.9844221434701062e-5,4.425782718577726e-5
ADFA/optimize/minify,0.7142910818121718,0.6883972401398101,0.7660015085957378,4.4782559894985655e-2,0.0,4.480484528329391e-2
ADFA/optimize/topSort,0.20170587940542362,0.19511047385477773,0.20750979224749333,8.026173218344049e-3,4.968725633471095e-3,1.2215777201827108e-2
ADFA/optimize/prune,7.588182035478463e-2,7.264664875038493e-2,7.936598947220787e-2,5.364363200257867e-3,4.080003728958344e-3,7.158282956879495e-3
ADFA/combine/union,0.12312677412350362,0.11928941259239041,0.12502209814274534,3.5869884488903773e-3,6.305924360135626e-4,5.330291243560674e-3
ADFA/combine/intersection,9.39481205044102e-2,9.178662767727246e-2,9.620519908002818e-2,3.6440885927743884e-3,1.908952349148762e-3,5.115906299020909e-3
ADFA/combine/difference,0.10682021428358812,0.10414928106173753,0.11001870458680897,4.143827253785162e-3,2.476625776769593e-3,6.495392358946612e-3
ADFA/combine/append,2.5960907903697306e-2,2.4499281615907025e-2,2.6918321375623434e-2,2.65560622378022e-3,1.501170587015158e-3,4.026394833825272e-3
ADFA/combine/prefixes,3.524312099447099e-2,3.3341103071580704e-2,3.646244416021332e-2,3.0392077458473647e-3,1.7501091227846433e-3,4.631920089037327e-3
ADFA/combine/suffixes,0.6304200762871742,0.6204961798054033,0.6365173675848859,9.244664717870027e-3,0.0,1.0560818316184259e-2
Trie/construction/fromList,0.2713708953679209,0.2653081093303834,0.27852067656335533,7.187528067749007e-3,3.193710577270842e-3,9.994486463933224e-3
Trie/construction/fromAscList,7.377484950462482e-2,6.962698309529552e-2,7.616279659829123e-2,5.05585715497886e-3,3.0301994793279978e-3,7.16028534963449e-3
Trie/query/isEmpty,8.399687067910592e-9,8.031662991336531e-9,8.668189732758052e-9,6.500456443351311e-10,5.139862572323016e-10,7.7587726742775e-10
Trie/query/stringCount,1.0304038622236134e-2,9.906822230693424e-3,1.0782234110313803e-2,1.250111801754023e-3,9.333912583300404e-4,1.7151944148999453e-3
Trie/query/enumerate10,2.1802340574628058e-6,2.1020995921376144e-6,2.241236446875831e-6,1.8625710439499836e-7,1.4649565071610811e-7,2.315440453510138e-7
Trie/query/match,1.5399690794096945e-4,1.4810478046500076e-4,1.5998933860189276e-4,1.6898657728922064e-5,1.4601546719641753e-5,2.025896340351741e-5
Trie/combine/union,3.61844291371098e-2,3.391524210259823e-2,3.739673865415153e-2,3.161226377538876e-3,9.952068439543506e-4,5.428598769363451e-3
Trie/combine/intersection,5.210387541048281e-2,4.9478104000766014e-2,5.359720766575134e-2,3.2798546234261983e-3,2.2071112508610436e-3,5.225820127989004e-3
Trie/combine/difference,1.715288436318384e-2,1.634844267468049e-2,1.7625569184183922e-2,1.3877371078052636e-3,9.064018616022276e-4,1.881809762094296e-3
Trie/combine/append,7.182810045645362e-2,6.990154497906112e-2,7.358084328602736e-2,2.98019549337899e-3,2.389020183940851e-3,3.9927252052364085e-3
Trie/combine/prefixes,2.8056168522504078e-2,2.5774102380579218e-2,2.930224422692291e-2,3.2960493312033444e-3,1.7980955017429315e-3,5.281189181415828e-3
Trie/combine/suffixes,0.7435874229185707,0.7363429444703451,0.748758145823515,7.806539974810163e-3,0.0,8.95595478322319e-3
Set/construction/fromList,0.27000471668623505,0.26437022307062374,0.276212138014172,6.49502094814131e-3,3.355811437816436e-3,9.137348348935828e-3
Set/construction/fromAscList,7.282079165246652e-2,7.003927062301521e-2,7.557893748804667e-2,4.607874115603026e-3,2.665773612586064e-3,7.111552920349163e-3
Set/query/isEmpty,6.795559830887846e-9,6.551439584413643e-9,6.981741127057401e-9,3.7796652094758714e-10,2.8579189462026533e-10,4.892709403588644e-10
Set/query/stringCount,7.496999180000064e-9,6.976563187636931e-9,8.18396741586109e-9,1.1054390407890061e-9,8.141610234091877e-10,1.4359738752342172e-9
Set/query/enumerate10,4.1337845255015495e-7,3.8493871020973106e-7,4.6138288304479745e-7,7.889337758390502e-8,4.921603753988321e-8,1.2110332836681508e-7
Set/query/match,3.6493025452246134e-4,3.515675778399062e-4,3.7725455148121425e-4,3.5831721095089974e-5,2.947712829757994e-5,4.857965360551983e-5
Set/combine/union,3.0280142397988305e-2,2.92259919864988e-2,3.1101503202701258e-2,2.078281935890636e-3,1.2462305080152886e-3,3.035744663270101e-3
Set/combine/intersection,2.7329342654269777e-2,2.613905451984352e-2,2.818962635569179e-2,2.2842161577162528e-3,1.215044875912822e-3,3.743811323438305e-3
Set/combine/difference,2.2132031432378824e-2,2.0825963878599574e-2,2.3217381467221302e-2,2.5683031266066905e-3,1.6545673336876314e-3,4.014880840941698e-3
Set/combine/append,0.356221708981505,0.34903852060503726,0.36327592418492133,1.210811071521535e-2,0.0,1.221825913984188e-2
Set/combine/prefixes,0.6284502578732957,0.622489145093797,0.6309083497772614,5.395171121250211e-3,0.0,6.067410136397381e-3
Set/combine/suffixes,1.0731805153383729,1.0643000327017424,1.0814993360559344,1.3947674799081903e-2,0.0,1.4408620141873257e-2
